_ga;GA1.2.1957623799.1612506257;.guru99.com;/;Sun Feb 05 11:54:21 IST 2023;false
_gat_gtag_UA_1248015_24;1;.guru99.com;/;Fri Feb 05 11:55:17 IST 2021;false
Selenium;abc123;demo.guru99.com;/test/cookie;null;false
__gads;ID=dc1aea862ce656c2-22b4da90f0c50042:T=1612506262:RT=1612506262:S=ALNI_Mb68-Lzo-X6rIn5Cak_GklSlNxT3w;.guru99.com;/;Wed Mar 02 11:54:22 IST 2022;false
_gid;GA1.2.401250734.1612506257;.guru99.com;/;Sat Feb 06 11:54:21 IST 2021;false
